Hydrogen
Noble_Gases
Alkali_Metals
Alkaline_Earth_Metals
Boron_Transition_Metals
Carbon
Nitrogen
Oxygen
Fluorine_Chlorine
Noble_Gases
Alkali_Metals
Alkaline_Earth_Metals
Other
Other
Phosphorus
Sulfur
Fluorine_Chlorine
Noble_Gases
Alkali_Metals
Alkaline_Earth_Metals
Boron_Transition_Metals
Titanium
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Iron
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Other
Other
Other
Other
Bromine
Noble_Gases
Alkali_Metals
Alkaline_Earth_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Other
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Other
Other
Other
Other
Iodine
Noble_Gases
Alkali_Metals
Alkaline_Earth_Metals
Other
Other
Other
Other
Other
Other
Other
Other
Other
Other
Other
Other
Other
Other
Other
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Boron_Transition_Metals
Other
Other
Other
Other
Other
Noble_Gases
Alkali_Metals
Alkaline_Earth_Metals
Other
Other
Other
Other
Other
Other
Other
Other
Other
Other
Other
Other
